timestamp,time_sec,sensor,x,y,z
1780861813004,126.055,Accelerometer,-7.524,13.753951,-0.80895007
1780861813565,126.616,Accelerometer,-23.33805,19.18905,3.8170502
1780861814949,128.0,Accelerometer,-9.993,13.420951,1.96905
1780861816601,129.652,Accelerometer,-13.986001,16.900051,-0.42195
1780861818326,131.377,Accelerometer,-8.66895,12.174001,-3.1009502
1780861819911,132.962,Accelerometer,-16.155,17.913,6.1369505
1780861821372,134.423,Accelerometer,-21.459002,17.484001,9.430051
1780861822206,135.257,Accelerometer,-4.8690004,4.22505,-0.076950006
1780861822646,135.697,Accelerometer,-28.36305,23.428951,18.04095
1780861823306,136.357,Accelerometer,-7.8190503,17.02005,-1.9609501
1780861823866,136.917,Accelerometer,-42.681004,21.894001,12.384001
1780861824546,137.597,Accelerometer,-16.155,6.6859503,1.96905
1780861824966,138.017,Accelerometer,-40.792053,36.89205,22.084951
1780861825586,138.637,Accelerometer,-9.222,4.22505,1.131
1780861826006,139.057,Accelerometer,-33.006,22.596,7.7320504
1780861826747,139.798,Accelerometer,-7.4380503,4.22505,-2.49705
1780861827248,140.299,Accelerometer,-27.114002,15.729001,7.3030505
1780861827951,141.002,Accelerometer,-7.6249504,11.151001,-3.4339502
1780861828530,141.581,Accelerometer,-17.178001,16.491001,5.7619505
1780861829246,142.297,Accelerometer,-7.1239505,14.359951,-1.0489501
1780861829791,142.842,Accelerometer,-39.228,21.98295,16.38705
1780861830410,143.461,Accelerometer,-10.371,15.793951,-1.5520501
1780861830967,144.018,Accelerometer,-48.61095,25.888052,17.54805
1780861831606,144.657,Accelerometer,-8.808001,15.669001,-0.25905
1780861832127,145.178,Accelerometer,-37.665,20.352001,14.374051
1780861832890,145.941,Accelerometer,-8.368951,3.49005,1.2079501
1780861833311,146.362,Accelerometer,-32.082,26.038952,17.851952
1780861834067,147.118,Accelerometer,-11.7960005,5.2590003,1.21305
1780861834488,147.539,Accelerometer,-39.753002,26.946001,19.830002
1780861835108,148.159,Accelerometer,-10.4740505,16.531052,-1.968
1780861835668,148.719,Accelerometer,-39.429,29.548952,10.119
1780861836347,149.398,Accelerometer,-8.950951,13.744051,-2.45895
1780861836887,149.938,Accelerometer,-43.734,21.957,9.892051
1780861837548,150.599,Accelerometer,-8.86995,14.443951,-0.786
1780861838095,151.146,Accelerometer,-34.416,24.982952,18.043951
1780861838836,151.887,Accelerometer,-8.97,1.07895,-1.7260501
1780861839249,152.3,Accelerometer,-35.922,21.28395,10.411051
1780861839948,152.999,Accelerometer,-6.9280505,15.0060005,-1.31505
1780861840468,153.519,Accelerometer,-32.11005,16.201052,11.788051
1780861841130,154.181,Accelerometer,-8.68305,13.174951,-1.3240501
1780861841647,154.698,Accelerometer,-35.20605,16.69605,12.994051
1780861842428,155.479,Accelerometer,-9.48795,2.8960502,0.162
1780861842848,155.899,Accelerometer,-25.58595,15.492001,7.29405
1780861843508,156.559,Accelerometer,-8.99205,15.586051,-5.979
1780861844035,157.086,Accelerometer,-29.69205,13.27305,10.828051
1780861844678,157.729,Accelerometer,-8.3220005,14.26395,-1.34595
1780861845208,158.259,Accelerometer,-28.062002,13.408951,5.41695
1780861845849,158.9,Accelerometer,-7.6390505,14.776051,-1.5180001
1780861846408,159.459,Accelerometer,-35.38095,10.80405,11.235001
1780861847669,160.72,Accelerometer,-24.022951,12.20505,4.8229504
1780861848394,161.445,Accelerometer,-5.19705,13.9140005,-1.6000501
1780861848952,162.003,Accelerometer,-24.202051,10.9140005,2.568
1780861849790,162.841,Accelerometer,-5.44605,0.17595,-5.1450005
1780861850233,163.284,Accelerometer,-19.98405,11.841001,2.3710501
1780861850910,163.961,Accelerometer,-5.9610004,12.784051,-2.9329503
1780861851475,164.526,Accelerometer,-21.892052,11.311951,2.01
1780861852750,165.801,Accelerometer,-22.31595,11.19705,-3.5700002
1780861854049,167.1,Accelerometer,-16.333052,11.7310505,-5.85405
1780861854810,167.861,Accelerometer,-5.0389504,12.396001,-3.249
1780861855396,168.447,Accelerometer,-20.97495,11.701951,-0.21300001
1780861856710,169.761,Accelerometer,-16.80195,10.953,-0.37905002
1780861858032,171.083,Accelerometer,-20.914951,14.512951,-4.16895
1780861859350,172.401,Accelerometer,-16.25595,14.716051,-3.0940502
1780861860114,173.165,Accelerometer,-5.28795,12.406051,-2.196
1780861860710,173.761,Accelerometer,-18.202051,15.043951,-8.706
1780861861431,174.482,Accelerometer,-6.0660005,12.49005,-3.22005
1780861861995,175.046,Accelerometer,-23.340002,16.198051,-12.474001
1780861862711,175.762,Accelerometer,-6.9570003,12.454051,-3.00495
1780861863291,176.342,Accelerometer,-24.46305,17.458052,-5.55495
1780861864011,177.062,Accelerometer,-6.36105,12.793951,-1.6879501
1780861864590,177.641,Accelerometer,-19.716002,12.715051,-2.0020502
1780861865874,178.925,Accelerometer,-23.13495,16.026001,-8.133
1780861867096,180.147,Accelerometer,-13.68,12.93,-3.048
1780861867777,180.828,Accelerometer,-6.7819505,12.802951,-3.5170503
1780861868331,181.382,Accelerometer,-18.78405,12.267,-3.2680502
1780861869592,182.643,Accelerometer,-22.420952,20.37405,-5.23395
1780861870311,183.362,Accelerometer,-6.6720004,13.546051,-1.197
1780861870912,183.963,Accelerometer,-37.098003,20.568,-2.87295
1780861871591,184.642,Accelerometer,-10.27995,16.684052,-3.9720001
1780861872151,185.202,Accelerometer,-36.279003,15.23595,-5.493
1780861872854,185.905,Accelerometer,-7.2660003,13.82295,-2.5170002
1780861873406,186.457,Accelerometer,-26.671051,16.414051,-4.26
1780861874112,187.163,Accelerometer,-7.4809504,10.926001,-2.22
1780861874694,187.745,Accelerometer,-28.159952,15.53295,-0.273
1780861875396,188.447,Accelerometer,-6.3679504,12.471001,-3.0940502
1780861875995,189.046,Accelerometer,-19.086,13.918951,-4.28805
1780861877278,190.329,Accelerometer,-13.243951,11.436001,-4.209
1780861878060,191.111,Accelerometer,-8.14005,11.671051,-4.4770503
1780861878592,191.643,Accelerometer,-13.069051,9.95205,-11.461051
1780861879317,192.368,Accelerometer,-5.9149504,12.669001,-4.26
1780861879899,192.95,Accelerometer,-24.022951,16.306051,-3.2350502
1780861880632,193.683,Accelerometer,-6.6240005,13.158001,-4.18305
1780861881212,194.263,Accelerometer,-16.87605,14.30895,-3.58905
1780861881954,195.005,Accelerometer,-6.6859503,12.052051,-1.2550501
1780861882533,195.584,Accelerometer,-28.77,18.379951,-3.93195
1780861883237,196.288,Accelerometer,-6.87795,12.411,-2.3730001
1780861883793,196.844,Accelerometer,-23.074951,14.062951,-8.940001
1780861884513,197.564,Accelerometer,-7.0980005,11.41695,-4.08495
1780861885119,198.17,Accelerometer,-17.30505,12.234,-3.0360003
1780861888873,201.924,Accelerometer,-7.2180004,9.38895,-0.59400004
1780861892918,205.969,Accelerometer,-27.793951,12.267,10.18395
1780861893714,206.765,Accelerometer,-6.06405,13.11705,-2.8129501
1780861894254,207.305,Accelerometer,-21.85095,16.789951,0.94395006
1780861895033,208.084,Accelerometer,-6.28905,13.56,-0.97695005
1780861895593,208.644,Accelerometer,-25.975952,12.835051,5.3760004
1780861896313,209.364,Accelerometer,-6.71505,13.893001,-6.0220504
1780861896860,209.911,Accelerometer,-30.709951,13.431001,5.5080004
1780861897554,210.605,Accelerometer,-13.725,16.752,-4.18095
1780861898093,211.144,Accelerometer,-40.882954,18.6,3.1930501
1780861898754,211.805,Accelerometer,-8.500951,15.17895,-2.9670002
1780861899316,212.367,Accelerometer,-31.624052,13.08405,7.0420504
1780861900014,213.065,Accelerometer,-5.37195,16.039951,-5.0950503
1780861900554,213.605,Accelerometer,-33.858,14.611051,6.25005
1780861901248,214.299,Accelerometer,-9.933001,15.076051,-3.7710001
1780861901774,214.825,Accelerometer,-33.44205,15.21195,10.078051
1780861902474,215.525,Accelerometer,-7.4020505,15.69795,-2.16195
1780861903017,216.068,Accelerometer,-32.91,13.384951,8.082001
1780861903742,216.793,Accelerometer,-6.64305,14.776051,-2.4469502
1780861904305,217.356,Accelerometer,-24.115952,10.455001,3.5640001
1780861905011,218.062,Accelerometer,-9.460951,13.79895,-1.8250501
1780861905554,218.605,Accelerometer,-30.28395,15.186001,11.44995
1780861906255,219.306,Accelerometer,-12.889951,15.207001,-4.872
1780861906778,219.829,Accelerometer,-49.76805,17.271,3.7600503
1780861907489,220.54,Accelerometer,-8.451,15.06795,-2.8879502
1780861908060,221.111,Accelerometer,-41.689953,11.661,1.0159501
1780861908715,221.766,Accelerometer,-9.267,14.950951,-0.79305005
1780861909255,222.306,Accelerometer,-41.536053,13.668,0.39105
1780861909977,223.028,Accelerometer,-7.314,15.475051,-1.6519501
1780861910544,223.595,Accelerometer,-47.767952,19.996052,-2.148
1780861911215,224.266,Accelerometer,-10.93395,14.724001,-3.4020002
1780861911775,224.826,Accelerometer,-44.890953,14.23305,11.919001
1780861912475,225.526,Accelerometer,-5.8819504,14.57295,-5.8230004
1780861913017,226.068,Accelerometer,-32.16495,14.059951,4.7130003
1780861913715,226.766,Accelerometer,-7.42605,15.03705,-2.6530502
