timestamp,time_sec,sensor,x,y,z,time_to_prev_strike_sec
1780861812325,126.058,Accelerometer,-28.85205,21.466051,12.127951,0.7670000000000101
1780861812898,126.631,Accelerometer,-14.22,11.568001,-2.802,0.5729999999999933
1780861813565,127.298,Accelerometer,-23.33805,19.18905,3.8170502,0.6670000000000016
1780861814105,127.838,Accelerometer,-21.712051,14.230051,2.7109501,0.539999999999992
1780861815385,129.118,Accelerometer,-10.128,12.22395,-1.3729501,1.2800000000000011
1780861816466,130.199,Accelerometer,-16.660051,3.2950501,-0.62100005,1.0810000000000173
1780861818125,131.858,Accelerometer,-11.598001,3.9199502,-0.906,1.6589999999999918
1780861821372,135.105,Accelerometer,-21.459002,17.484001,9.430051,3.2469999999999857
1780861821373,135.106,Accelerometer,-13.128,3.0990002,3.9960003,0.0010000000000047748
1780861822646,136.379,Accelerometer,-28.36305,23.428951,18.04095,1.2729999999999961
1780861823398,137.131,Accelerometer,-18.319052,10.81095,3.2689502,0.7520000000000095
1780861823866,137.599,Accelerometer,-42.681004,21.894001,12.384001,0.4679999999999893
1780861824635,138.368,Accelerometer,-19.132952,6.16095,0.67305005,0.7690000000000055
1780861824966,138.699,Accelerometer,-40.792053,36.89205,22.084951,0.3310000000000173
1780861825625,139.358,Accelerometer,-14.866951,10.31295,0.36900002,0.6589999999999918
1780861826006,139.739,Accelerometer,-33.006,22.596,7.7320504,0.3810000000000002
1780861826855,140.588,Accelerometer,-26.236952,3.0630002,4.45095,0.8489999999999895
1780861827248,140.981,Accelerometer,-27.114002,15.729001,7.3030505,0.3930000000000007
1780861828676,142.409,Accelerometer,-17.565,5.61105,6.7000504,1.4279999999999973
1780861829791,143.524,Accelerometer,-39.228,21.98295,16.38705,1.115000000000009
1780861830356,144.089,Accelerometer,-15.288001,11.757001,-0.67905,0.5649999999999977
1780861830967,144.7,Accelerometer,-48.61095,25.888052,17.54805,0.61099999999999
1780861831551,145.284,Accelerometer,-18.397951,12.4459505,-3.0660002,0.5840000000000032
1780861832127,145.86,Accelerometer,-37.665,20.352001,14.374051,0.5760000000000218
1780861832727,146.46,Accelerometer,-24.883951,13.80405,2.67195,0.5999999999999943
