step_number,timestamp_ms,timestamp_utc,delta_ms,speed_spm,accel_magnitude
199,1778964750428,2026-05-16T20:52:30.428000+00:00,1243,48.27031375703942,21.49296956141964
200,1778964750647,2026-05-16T20:52:30.647000+00:00,219,273.972602739726,21.74392109248937
201,1778964751696,2026-05-16T20:52:31.696000+00:00,1049,57.197330791229746,21.061503907875174
202,1778964753148,2026-05-16T20:52:33.148000+00:00,1452,41.32231404958678,26.351959826238165
203,1778964754222,2026-05-16T20:52:34.222000+00:00,1074,55.865921787709496,22.225885824983536
204,1778964755702,2026-05-16T20:52:35.702000+00:00,1480,40.54054054054054,23.6768766576713
205,1778964756730,2026-05-16T20:52:36.730000+00:00,1028,58.36575875486381,22.685584921897743
206,1778964757892,2026-05-16T20:52:37.892000+00:00,1162,51.63511187607573,20.79354571877221
207,1778964759091,2026-05-16T20:52:39.091000+00:00,1199,50.04170141784821,21.554182730672025
208,1778964759353,2026-05-16T20:52:39.353000+00:00,262,229.00763358778627,25.979863263364205
209,1778964760438,2026-05-16T20:52:40.438000+00:00,1085,55.29953917050691,24.9277402847711
210,1778964761618,2026-05-16T20:52:41.618000+00:00,1180,50.847457627118644,20.314705602099192
211,1778964762886,2026-05-16T20:52:42.886000+00:00,1268,47.3186119873817,23.804399490459787
212,1778964764129,2026-05-16T20:52:44.129000+00:00,1243,48.27031375703942,23.713007373873545
213,1778964765314,2026-05-16T20:52:45.314000+00:00,1185,50.63291139240506,20.405731388171173
214,1778964765528,2026-05-16T20:52:45.528000+00:00,214,280.3738317757009,20.40889749670058
215,1778964766591,2026-05-16T20:52:46.591000+00:00,1063,56.444026340545626,22.908596458041707
216,1778964767804,2026-05-16T20:52:47.804000+00:00,1213,49.4641384995878,22.149218435534014
217,1778964769064,2026-05-16T20:52:49.064000+00:00,1260,47.61904761904762,21.428705497273608
218,1778964770307,2026-05-16T20:52:50.307000+00:00,1243,48.27031375703942,22.097377281987587
219,1778964770522,2026-05-16T20:52:50.522000+00:00,215,279.06976744186045,24.92616489586784
220,1778964771571,2026-05-16T20:52:51.571000+00:00,1049,57.197330791229746,19.102593455012858
221,1778964771787,2026-05-16T20:52:51.787000+00:00,216,277.77777777777777,15.674931005340982
222,1778964772832,2026-05-16T20:52:52.832000+00:00,1045,57.41626794258373,21.394978654836326
223,1778964773047,2026-05-16T20:52:53.047000+00:00,215,279.06976744186045,20.59163473647493
224,1778964774130,2026-05-16T20:52:54.130000+00:00,1083,55.40166204986149,22.56315467679334
225,1778964775295,2026-05-16T20:52:55.295000+00:00,1165,51.502145922746784,20.222173260222405
226,1778964775495,2026-05-16T20:52:55.495000+00:00,200,300.0,24.984385162928685
227,1778964776505,2026-05-16T20:52:56.505000+00:00,1010,59.40594059405941,21.401817837864385
228,1778964776718,2026-05-16T20:52:56.718000+00:00,213,281.6901408450704,24.557298496965906
229,1778964778015,2026-05-16T20:52:58.015000+00:00,1297,46.26060138781804,26.651714259960844
230,1778964778700,2026-05-16T20:52:58.700000+00:00,685,87.5912408759124,20.204761231229238
231,1778964779025,2026-05-16T20:52:59.025000+00:00,325,184.6153846153846,24.761648941478047
232,1778964779244,2026-05-16T20:52:59.244000+00:00,219,273.972602739726,16.352466654446086
233,1778964780251,2026-05-16T20:53:00.251000+00:00,1007,59.58291956305859,23.293429028362485
234,1778964781513,2026-05-16T20:53:01.513000+00:00,1262,47.543581616481774,21.72048632580546
235,1778964782731,2026-05-16T20:53:02.731000+00:00,1218,49.26108374384236,23.80984621109729
236,1778964782935,2026-05-16T20:53:02.935000+00:00,204,294.11764705882354,19.04248873463474
237,1778964783968,2026-05-16T20:53:03.968000+00:00,1033,58.08325266214908,20.42821374578062
238,1778964784174,2026-05-16T20:53:04.174000+00:00,206,291.2621359223301,21.90835846240243
239,1778964785189,2026-05-16T20:53:05.189000+00:00,1015,59.11330049261084,22.193437403773014
240,1778964786393,2026-05-16T20:53:06.393000+00:00,1204,49.83388704318937,20.368943005676584
241,1778964786608,2026-05-16T20:53:06.608000+00:00,215,279.06976744186045,36.11841944394273
242,1778964787636,2026-05-16T20:53:07.636000+00:00,1028,58.36575875486381,19.649808312232974
243,1778964788941,2026-05-16T20:53:08.941000+00:00,1305,45.97701149425287,26.28817253776504
244,1778964790061,2026-05-16T20:53:10.061000+00:00,1120,53.57142857142857,22.657251490712657
245,1778964791271,2026-05-16T20:53:11.271000+00:00,1210,49.586776859504134,21.71376511820463
246,1778964792469,2026-05-16T20:53:12.469000+00:00,1198,50.08347245409015,19.99210894950058
247,1778964793932,2026-05-16T20:53:13.932000+00:00,1463,41.01161995898838,24.78210740642337
248,1778964794992,2026-05-16T20:53:14.992000+00:00,1060,56.60377358490566,22.056511086808445
249,1778964796262,2026-05-16T20:53:16.262000+00:00,1270,47.24409448818898,23.25761978413537
250,1778964797477,2026-05-16T20:53:17.477000+00:00,1215,49.382716049382715,21.60327625376418
251,1778964797682,2026-05-16T20:53:17.682000+00:00,205,292.6829268292683,29.655935021248347
252,1778964798729,2026-05-16T20:53:18.729000+00:00,1047,57.306590257879655,22.204889189988545
253,1778964799920,2026-05-16T20:53:19.920000+00:00,1191,50.377833753148614,23.083781036081177
254,1778964800784,2026-05-16T20:53:20.784000+00:00,864,69.44444444444444,22.396365662860823
255,1778964801158,2026-05-16T20:53:21.158000+00:00,374,160.42780748663102,23.89714878053512
256,1778964802607,2026-05-16T20:53:22.607000+00:00,1449,41.40786749482402,22.967561660388863
257,1778964803844,2026-05-16T20:53:23.844000+00:00,1237,48.504446240905416,14.217887894955073
258,1778964808753,2026-05-16T20:53:28.753000+00:00,4909,12.222448563862294,23.65509882533582
259,1778964809066,2026-05-16T20:53:29.066000+00:00,313,191.69329073482427,36.84471065073643
260,1778964809647,2026-05-16T20:53:29.647000+00:00,581,103.27022375215147,24.990662002504155
261,1778964809864,2026-05-16T20:53:29.864000+00:00,217,276.49769585253455,22.59256800132477
262,1778964810230,2026-05-16T20:53:30.230000+00:00,366,163.9344262295082,22.852347957974033
263,1778964810912,2026-05-16T20:53:30.912000+00:00,682,87.97653958944281,20.5819997378977
264,1778964811357,2026-05-16T20:53:31.357000+00:00,445,134.8314606741573,25.984094080285562
265,1778964811806,2026-05-16T20:53:31.806000+00:00,449,133.630289532294,24.719683200315373
266,1778964813320,2026-05-16T20:53:33.320000+00:00,1514,39.63011889035667,26.704167735589586
267,1778964813763,2026-05-16T20:53:33.763000+00:00,443,135.44018058690745,32.18384220348157
